식물구분번호,식물분류명,한글식물명,식물학명,식물학명분류,국문식물상세설명,국외식물분포지역,이용가능부위,국문식물효능설명,국문식물복용방법설명
1,양치식물,부처손과,부처손과(Selaginellaceae),Selaginella involvens (SW.) Spring,"바위나 나무 간에 붙어서 다년생으로 자라며 길이는 20cm정도 자라고 가지가 달린 줄기가 뿌리처럼 땅속으로 들어가 줄기처럼 서서 자란다. 잎은 4줄로 배열하고 서양이며 잎 끝이 가지가 되고 잔톱니가 많이 늘어서 있다. 잎집주머니는 이삭의 단경에 달려 1개씩 달린다.","한국(전국), 중국, 일본, 동아시아, 대만, 인도, 자바, 필리핀",전초(전초),"건출에 의한 억균작용이나 채취하여 말려서 복용, 지혈 작용.","소량, 산후어혈, 지혈, 타박상, 탈항, 종기, 무월경, 폐경, 피오줌, 피똥, 피토, 활혈, (내복): 달이거나, 환제 또는 가루약(산제)으로 만들어 복용한다. (외용): 짓찧어 붙이거나 신선한 생즙을 내어 상처 부위에 바른다."
2,양치식물,속새과,속새과(Equisetaceae),Equisetum arvense L.,"습지나 냇가 주변 밭둑에 자라는 다년생 초본으로 줄기는 마디가 있고 직립하며 높이 30~40cm이고 마디가 많이 있다. 마디 마다 잎잎줄기가 억세고 마디에 긴 엽집이 3~4개의 억세게 있다. 포자주머니 이삭은 뱀머리 모양이고 겉부분에 포자엽에 의해 둘러싸여 있으며 마디에 7개 정도의 포자주머니가 달린다. 봄에 영양줄기보다 줄기가 먼저 나와 성숙하고 나중에 자란다.","한국(전국), 북반구 온대 전지역",전초(전초),봄철에 5~7월 채취하여 그늘에서 말린다.,"해열, 이뇨, 통경작용, 안질환, 다뇨, 결석, 방광염, 피오줌, 토혈, 치질, 치통, 칠창, 탈항, 출혈성질환, 대하증, 폐결핵, 타혈, 해수, 지혈, 활혈, (내복): 달이거나 환(丸)으로 만들어 복용한다. (외용): 달인 물로 상처 부위를 씻는다."
3,양치식물,속새과,속새과(Equisetaceae),Equisetum hyemale L.,"습지나 산골짜기 냇가에 자라는 상록 다년초로 높이 30~60cm이며 줄기가 모여나서 마디처럼 보이고 마디와 마디 사이에 10~18개의 억세가 있다. 관화는 마디 마다 밑부분이 서로 합쳐져서 나팔 모양이 되며 속은 비어 있고 마디 마다 억세가 돌려 달린다. 포자주머니는 포자줄기 끝에 달리고 뾰족하며 황갈색이다. 속새는 생약명으로 줄기가 단단하고 외부에 관화가 줄기 마다 달려 있다.","한국(전국), 북반구 온대 전지역",전초(전초),여름철에 지상부를 잘라 채취하여 그늘에서 말린다.,"풍열이안, 이뇨, 지혈작용, 소풍청열, 이뇨, 유목, 장풍하혈, 자궁출혈, 수염, 피오줌, 토혈, 치통, 치질, 탈항, 대하증, 해열, 지혈, (내복): 달이거나 환제 또는 가루약으로 만들어서 복용한다. (외용): 달인 물로 상처 부위를 씻는다. 단 임산부나 몸이 차가운 사람은 복용에 주의한다."
4,양치식물,고사리삼과,고사리삼과(Ophioglossaceae),Sceptridium ternatum (Thunb.) Lyon,"습지나 산 산지 주변 풀밭에 자라는 다년생 초본으로 두껍고 길게 뿌리가 발달하여 자란다. 잎은 2개로 갈라져 영양엽과 영양(포자)엽으로 되며 영양(영양)은 자루가 길고 3회 羽狀으로 갈라지며 잔톱니를 포함하고 있다. 포자엽은 영양엽 자루 밑부분에서 나와 긴 자루가 생기고 포자주머니가 달린다. 이 고사리삼은 여름에 포자엽 이삭이 달리고 겨울에 줄기가 시들어 없어짐.","한국(전국), 중국, 일본, 히말라야",영양엽(영양엽),여름철에 채취하여 햇볕에 말린다.,"폐 보호, 해수천식, 이뇨, 지혈, 무월경, 청열, 해독, 해수, 해열, 소종지통, (내복): 달여서 복용한다. (외용): 짓찧어 상처 부위에 바른다."
5,양치식물,고비과,고비과(Osmundaceae),Osmunda japonica Thunb.,"산지의 습한 골짜기 및 하천변에 자라는 다년초로 높이 60~100cm이고 영양 줄기 밑부분에서 긴 잎자루가 나온다. 잎은 2회 우상복엽이고 깃꼴 길이는 20~30cm이다. 봄철에 영양잎보다 먼저 포자잎이 나와 붉은 갈색으로 변해 매우 정교하게 깃꼴로 갈라지며 포자주머니가 달리게 된다. 이 고비는, 고사리보다 줄기가 굵고 깃꼴이 2회 우상복엽이다.","한국(중부이남), 중국, 일본, 대만, 사할린, 히말라야","자경(관중),근경(관중), 엽경(관중)",뿌리줄기와 잎자루 잔기를 가을에 채취하여 잔뿌리와 줄기를 제거한다.,"지혈, 해열, 기생충, 구충, 감기몸살, 이뇨, 타박상, 징가현벽, 토혈, 뇨혈, 코피, 수렴자강, 항균, 청열해독, 구충, 이뇨, 보간신, 해열, 활혈, 진통, (내복): 달이거나 환제(丸劑)로 만들어 복용한다."
6,양치식물,고사리과,면마과(Dryopteridaceae),Dryopteris crassirhizoma Nakai,"산지 그늘에 자라는 다년초로 길이가 100cm 정도 자라며 뿌리줄기가 굵고 잎이 모여 난다. 잎은 도피침형으로 2회 우상으로 갈라지며 잎자루에 비늘 조각이 마디처럼 달려있다. 포자주머니는 잎갈래 조각 뒷면에 달리고 영양 잎자루에 2줄로 달린다. 이 관중고사리는 잎이 크고 관 모양으로 모여 나는 대형 고사리류이다.","한국(전국), 중국, 일본, 러시아",관중(관중),뿌리줄기를 가을이나 봄에 채취하여 햇볕에 말린다.,"구충, 코피, 지혈, 해열, 수렴작용, 이뇨, 자궁출혈, 자궁지혈, 자궁강화, 수염, 피오줌, 토혈, 청열해독, 자궁지혈, 해열, 획충, 회충구충, (내복): 달이거나 환제 또는 가루약으로 만들어 복용한다. 단 임산부나 몸이 차가운 사람은 복용에 주의한다."
7,양치식물,고사리과,잔고사리과(Dennstaedtiaceae),Pteridium aquilinum var. latiusculum (Desv.) Underw. ex Hell.,"습지나 산지의 양지바른 곳에 자라는 다년초로 길이가 1m에 이르며 긴 뿌리줄기가 옆으로 뻗으면서 줄기가 나온다. 잎은 넓은 삼각형으로 3회 우상으로 갈라지며 딱딱하다. 엽편은 삼각형이고 잎자루 뒷면 가장자리 쪽으로 포자주머니가 줄지어 달린다. 이 고사리는 포자고사리라 불리며 잎자루를 말려 식용으로 활용한다.","한국(전국), 중국, 일본, 러시아",근경(근경),뿌리줄기를 가을이나 겨울에 채취하여 햇볕에 말린다.,"해열, 이뇨, 소종, 황달, 타박상, 열독, 종기, 음위, 해독, 해열, 이뇨, 보양강장, 진통, 청열, 치통, 탈항, 출혈, 대변, 대하증, 해수, 화상, 황달, 해독작용, (내복): 달이거나 환제로 만들어 복용한다."
15,겉씨식물,소나무과,소나무과(Pinaceae),Pinus densiflora Siebold & Zucc.,"산지에 자라는 상록교목으로 높이 35m에 달하고 줄기껍질은 적갈색 또는 적갈색이며 아랫부분은 수피가 떨어진다. 잎은 2개씩 모여나고 비틀리며 밑부분에 밑씨가 있고 2년 후에 떨어진다. 꽃은 5월에 피고 암수딴포기로 암꽃은 가지 끝에 수꽃은 가지 밑에 모여달린다. 구과는 계란형이며 이듬해 9월에 익는다. 이 해송보다 줄기가 적갈색이고 잎이 부드럽다.","한국(전국), 중국, 일본, 러시아","솔잎(송엽), 송화(송화)",봄에 어린잎을 채취하거나 송화를 가을에 채취하여 그늘에서 말린다.,"동의보감, 신경통, 심혈관질환예방, 이뇨, 풍습통, 감기예방, 소화불량, 피로회복, 항산화, 피부노화, 당뇨, 이뇨, 소풍, 진통, 안신, 심혈관질환, 피로, 중풍, 치통, 칠창, 고혈압, 피부염, 해수 등","(내복): 달이거나, 술에 담가 복용한다."
16,겉씨식물,잣나무과,소나무과(Pinaceae),Pinus koraiensis Siebold & Zucc.,"산지에 자라는 상록교목으로 높이가 30m에 달하며 삼각 모양의 원뿔형이다. 잎은 5개씩 모여나며 잎뒷면에 흰색 기공선이 있다. 꽃은 5월에 피며 5~6월에 암꽃은 가지 끝에 달리고 2~5개가 한데 모여 피며 수꽃은 가지 밑에 달린다. 솔방울은 긴 타원형으로 이듬해 9월에 익는다. 이 잣나무는 잎이 5개씩이고 열매가 크며 잣나무 종자는 3개이다.","한국(전국), 중국, 일본, 러시아",해송자(해송자),열매를 가을에 채취하여 솔방울을 털어 자를 얻는다.,"자양, 강장, 풍습, 동의보감, 피부, 당뇨, 소화불량, 변비, 만성기관지염, 신경통, 이뇨, 기침, 풍습통, 관절염, 해수, (내복): 달이거나, 강장식 또는 환약으로 만든다."
21,쌍자엽식물,삼백초과,삼백초과(Saururaceae),Houttuynia cordata Thunb.,"습지 주변에 자라는 다년초로 높이 20~50cm이며 아래로 뿌리가 뻗으면서 옆으로 퍼지고 하얀 뿌리줄기가 있다. 잎은 심장형이고 심장 모양으로 마주나며 심장 모양의 잎자루가 있고 잎밑은 심장형이며 톱니가 없다. 꽃은 5~6월에 줄기 끝에 노란색 1~3cm의 수상화서로 달리고, 포잎은 4개로 순백색이며 수술은 황색이다. 이 어성초는 잎에서 비린내가 나고 포엽이 흰색인 점이 특징이다.","한국(제주도, 울릉도), 중국, 일본, 대만, 태국, 자바",어성초(어성초),전초를 꽃이 피기 시작할 때 채취하여 그늘에서 말린다.,"이뇨, 소염작용, 해독, 이뇨, 임질, 부종, 항균작용, 폐염, 축농증, 치질, 여드름, 코염, 이뇨이림, 전초, 피부염, 변비, 습진, 청열해독, 소종, 치통, 치질, 타박상, 대하증, 피부병, 이뇨, 피부염, 해수, 해독, 화상, 종기 등","(내복): 달여서 복용하거나 생즙을 내어 복용한다. (외용): 짓찧어 상처 부위에 붙이거나 달인 물로 씻는다."
22,쌍자엽식물,삼백초과,삼백초과(Saururaceae),Saururus chinensis (Lour.) Baill.,"습지 주변에 자라는 다년초로 높이 50~100cm이며 줄기는 곧게 선다. 잎은 마주나며 연한 녹색이고 밑부분은 무늬가 있는 연한 녹색이며 잎밑은 약간 오목하다. 꽃은 수상화서로서 6~8월에 백색으로 피고 수상화서가 달린다. 열매는 둥글고 3~5개로 나누어지며, 종자는 한 방에 1개씩 들어 있다. 이 삼백초는 윗부분의 잎이 흰색으로 변하고 잎표면에 털이 없다.","한국(전국), 중국, 일본, 필리핀",삼백초(삼백초),전초를 꽃이 피는 여름에 채취하여 그늘에서 말린다.,"이뇨, 해독, 소종, 항암작용, 이뇨, 부종, 임질, 대하, 이뇨작용, 이림, 각기, 해독, 악창, 종기, 이뇨, 수종, 대하, 이뇨, 변비, 황달, 청열이습, 해독, 치통, 치질, 임질, 습진, 황달 등","(내복): 달여서 복용하거나 생즙을 내어 복용한다. (외용): 짓찧어 상처 부위에 붙이거나 달인 물로 씻는다."
56,쌍자엽식물,마디풀과,마디풀과(Polygonaceae),Fallopia japonica (Houtt.) RonseDecr.,"산지 골짜기 주변에 자라는 다년초로 높이가 1.5m에 달하고 줄기가 원통형이며 속이 비어있다. 잎은 마주나며 넓은 타원형이고 끝이 뾰족하며 평평하다. 꽃은 암수딴포기로 6~8월에 흰색 또는 연한 붉은색으로 달린다. 열매는 수과로 3개의 날개가 있고 갈색이다. 이 호장근은 원줄기가 크고 마디에 막질의 잎집이 있다.","한국(전국), 중국, 일본, 대만",호장근(호장근),뿌리줄기를 가을에 채취하여 햇볕에 말린다.,"이뇨, 통경, 해독, 관절염, 황달, 만성관절염, 금창, 종기, 통경작용, 이뇨, 황달, 청열이습, 치통, 타박상, 해독, 풍습, 화상","(내복): 달여서 복용하거나 환제 또는 가루약으로 복용한다. (외용): 달인 물로 상처 부위를 씻는다."
57,쌍자엽식물,마디풀과,마디풀과(Polygonaceae),Fallopia multiflora (Thunb.) Haraldson,"재배하는 덩굴성 다년초로 뿌리는 붉은 갈색의 덩이뿌리를 형성한다. 잎은 마주나며 계란 모양이고 심장형이며 끝이 뾰족하고 잎자루가 길다. 꽃은 암수딴포기로 8~9월에 흰색 꽃이 원깔때기모양으로 달린다. 열매는 수과로 3개의 날개가 있다. 이 적하수오는 덩이뿌리가 붉고 긴 원형의 붉은 덩이뿌리를 형성함.","한국(전국), 중국",하수오(적하수오),적하수오 뿌리를 가을에 채취하여 말려서 사용하거나 자양제로 사용한다.,"동의보감, 자양강장, 보혈, 강장, 흰머리검게, 항노화, 보신, 변비예방, 가려움증, 만성피로, 면역력증진, 신경통, 불면증, 가슴답답, 항산화, 혈액순환, 정력증진, 고혈압, 당뇨, 동맥경화 등","(내복): 달여서 복용하거나 환제, 술로 담가 복용한다."
67,쌍자엽식물,비름과,비름과(Amaranthaceae),Achyranthes japonica (Miq.) Nakai,"산지 및 들판에 자라는 다년초로 높이 50~100cm이며 줄기는 사각형으로 마디가 굵다. 잎은 마주나며 타원형 또는 계란형이고 양 면에 털이 약간 있다. 꽃은 8~9월에 줄기 끝에 수상화서로 녹색 꽃이 달린다. 열매는 포엽이 갈고리처럼 구부러져 동물의 털에 잘 붙는다. 이 우슬은 마디가 소의 무릎을 닮았다 하여 우슬이라 함.","한국(중부이남), 중국, 일본, 대만",우슬(우슬),뿌리를 가을 및 겨울에 채취하여 햇볕에 말린다.,"동의보감, 관절염, 요통, 신경통, 무릎통증, 이뇨, 자궁수축, 진통, 강장, 유산예방, 혈액순환, 생리통, 허리통증, 통풍, 항염, 면역력강화","(내복): 달여서 복용하거나 환제로 만들어 복용한다. (외용): 달인 물로 상처 부위를 씻는다. 임산부는 복용을 금한다."
70,쌍자엽식물,쇠비름과,쇠비름과(Portulacaceae),Portulaca oleracea L.,"밭이나 길가에 자라는 한해살이풀로 높이 30cm에 달하며 줄기는 적갈색으로 육질이고 가지가 잘 갈라진다. 잎은 주주 모양이고 도란형이며 톱니가 없다. 꽃은 노란색으로 6월부터 가을까지 피며 줄기 끝에 달린다. 열매는 캡슐모양이고 종자는 검은색이다.","한국(전국), 전세계 온대 및 열대",마치현(쇠비름),전초를 여름과 가을에 채취하여 살짝 삶아 햇볕에 말린다.,"청열, 해독, 지혈, 이질, 장염, 종기, 습진, 소종, 당뇨, 이뇨, 대하, 화상, 해독작용, 항균","(내복): 달이거나 생즙을 내어 복용한다. (외용): 짓찧어 붙이거나 달인 물로 씻는다."
86,쌍자엽식물,작약과,작약과(Paeoniaceae),Paeonia lactiflora Pall.,"산지에 자라는 다년초로 높이 50~80cm이고 뿌리가 굵고 육질이다. 잎은 1~2회 3출복엽이며 타원형이다. 꽃은 흰색 또는 붉은색으로 5~6월에 피며 크고 아름답다. 열매는 골돌과이다.","한국(전국), 중국, 일본, 러시아",백작약(작약),뿌리를 가을에 채취하여 겉껍질을 벗겨내고 햇볕에 말린다.,"보혈, 진통, 진경, 월경불순, 복통, 두통, 빈혈, 협통, 자궁출혈, 보음, 완급지통","(내복): 달여서 복용한다."
87,쌍자엽식물,작약과,작약과(Paeoniaceae),Paeonia suffruticosa Andrews.,"재배하는 낙엽관목으로 높이 2m에 달하며 가지가 굵다. 잎은 2회 3출복엽이다. 꽃은 5월에 피며 직경 15cm 정도로 크고 화려하다.","한국(전국), 중국",목단피(모란),뿌리껍질을 가을에 채취하여 목심을 제거하고 햇볕에 말린다.,"청열, 량혈, 활혈, 산어, 두통, 월경통, 종기, 고혈압, 소요, 무월경","(내복): 달여서 복용한다. 임산부는 주의한다."
