생약품목코드,일반명,생약명,라틴명,원물생약명,학명,사용부위
KMH2,가자,Termilia Fruit,Termiliae Fructus,"가자, 가자나무","Termilia chebula Retzins, Termilia chebula Retzins var. tomentella Kurt.",열매
KMH3,갈근,Pueraria Root,Puerariae Radix,칡,Pueraria lobata Ohwi,뿌리
KMH5,갈화,Pueraria Flower,Puerariae Flos,칡,Pueraria lobata Ohwi,"꽃봉오리, 막 피기 시작한 꽃"
KMH6,감국,Chrysanthemum Flower,Chrysanthemi Indici Flos,감국,Chrysanthemum indicum Linn,꽃
KMH7,감송향,Nardostachys Root,Nardostachyos Radix et Rhizoma,"감송, 감송향","Nardostachys chinensis Batal, Nardostachys jatamansi DC.","뿌리, 뿌리줄기"
KMH8,감수,Kansui Root,Euphorbiae Kansui Radix,감수,Euphorbia kansui Liou ex Wang,덩이뿌리
KMH9,감초,Licorice,Glycyrrhizae Radix et Rhizoma,"감초, 보유감초, 광과감초","Glycyrrhiza uralensis Fischer, Glycyrrhiza glabra Linn, Glycyrrhiza inflata Batal.","뿌리, 뿌리줄기"
KMH10,감초가루,Licorice Powder,Pulvis Glycyrrhizae Radicis et Rhizomatis,"감초, 보유감초, 광과감초","Glycyrrhiza uralensis Fischer, Glycyrrhiza glabra Linn, Glycyrrhiza inflata Batal.","뿌리, 뿌리줄기"
KMH11,감초유,Glycyrrhizae Radix Preparata cum Mel,Glycyrrhizae Radix Preparata cum Mel,"감초, 보유감초, 광과감초","Glycyrrhiza uralensis Fischer, Glycyrrhiza glabra Linn, Glycyrrhiza inflata Batal.","뿌리, 뿌리줄기"
KMH12,감초자,Glycyrrhizae Radix Preparata,Glycyrrhizae Radix Preparata,"감초, 보유감초, 광과감초","Glycyrrhiza uralensis Fischer, Glycyrrhiza glabra Linn, Glycyrrhiza inflata Batal.","뿌리, 뿌리줄기"
KMH14,강향,Dalbergia Wood,Dalbergiae Odoriferae Lignum,강향세,Dalbergia odorifera T. Chen.,"줄기, 뿌리의 심재"
KMH15,강활,Ostericum Root,Osterici seu Notopterygii Radix et Rhizoma,"강활, 중국강활, 관중강활","Ostericum koreanum Maximowicz, Notopterygium incisum Ting, Notopterygium forbesii Boissier","뿌리, 뿌리줄기"
KMH16,강황,Curcuma Longa Rhizome,Curcumae Longae Rhizoma,강황,Curcuma longa Linn,뿌리줄기
KMH17,개자,Mustard Seed,Brassicae Semen,"갓, 개자",Brassica juncea Czern. et Cosson,씨
KMH18,개자가루,Mustard Seed Powder,Pulvis Brassica Seminis,"갓, 개자",Brassica juncea Czern. et Cosson,씨
KMH19,갱미,Oryzae Semen,Oryzae Semen,벼,Oryza sativa Linn,씨
